PDT,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees,ZIP
4/11/2016,66,60,54,52,50,48,83,70,56,30.17,30.09,30.01,10,9,4,15,8,18,0,7,,239,94107
4/12/2016,63,59,54,52,48,46,77,67,56,30.25,30.2,30.16,10,10,10,21,11,25,0,6,,262,94107
4/13/2016,65,60,54,50,47,45,77,65,52,30.23,30.18,30.1,10,10,10,21,11,25,0,4,,262,94107
4/14/2016,65,57,49,53,45,38,80,64,48,30.17,30.12,30.07,10,9,2,28,15,32,0,4,Rain,280,94107
4/15/2016,70,60,50,46,42,39,72,53,33,30.16,30.12,30.07,10,10,10,23,11,27,0,1,,311,94107
4/16/2016,80,64,48,51,45,39,77,52,26,30.12,30.08,30.03,10,10,10,16,6,19,0,1,,285,94107
4/17/2016,81,67,52,53,46,42,77,54,30,30.06,30.02,29.98,10,10,10,14,5,16,0,1,,314,94107
4/18/2016,81,67,53,54,46,40,77,53,28,30.07,30.03,30.01,10,10,10,18,6,22,0,3,,304,94107
4/19/2016,79,66,53,52,44,32,67,45,22,30.03,29.96,29.89,10,10,10,21,6,25,0,5,,323,94107
4/20/2016,74,62,49,56,47,34,78,52,26,29.97,29.94,29.92,10,10,10,21,8,24,0,3,,302,94107
4/21/2016,76,67,58,55,54,52,86,68,49,29.94,29.9,29.87,10,10,10,23,10,28,0,7,Rain,222,94107
4/22/2016,65,61,57,55,50,45,84,66,48,30.11,29.91,29.81,10,10,5,29,19,35,0,6,Rain,233,94107
4/23/2016,67,59,50,50,48,46,83,66,48,30.22,30.17,30.12,10,10,10,24,11,30,0,2,,287,94107
4/24/2016,69,61,52,49,45,39,83,64,45,30.12,30.04,29.96,10,10,10,32,15,37,0,4,,293,94107
4/25/2016,68,59,50,46,38,31,72,53,34,30.05,30.03,30.01,10,10,10,25,13,29,0,1,,291,94107
4/26/2016,66,57,47,46,44,40,83,64,44,30.09,30.06,30.04,10,10,10,26,11,30,0,4,,243,94107
4/27/2016,65,60,54,53,48,40,93,73,52,30.05,29.95,29.86,10,8,1,30,15,34,0,5,Rain,263,94107
4/28/2016,68,58,48,50,47,43,77,65,52,29.98,29.92,29.88,10,10,9,21,9,24,0,1,,262,94107
4/29/2016,66,59,52,50,47,45,83,68,52,30.07,30,29.92,10,10,9,25,12,30,0,4,,226,94107
4/30/2016,82,69,55,50,43,38,66,44,21,29.94,29.88,29.81,10,10,10,21,10,26,0,0,,321,94107
5/1/2016,80,68,55,51,48,44,86,58,30,29.96,29.85,29.8,10,10,9,16,8,21,0,1,,287,94107
5/2/2016,68,61,53,52,50,49,89,72,55,30.07,30.03,29.96,10,10,7,21,10,24,0,4,,310,94107
5/3/2016,69,62,54,52,50,49,83,68,53,30.05,29.98,29.92,10,10,7,17,8,19,0,7,,284,94107
5/4/2016,69,63,56,52,50,49,83,68,52,29.94,29.9,29.86,10,10,10,17,9,22,0,7,,278,94107
5/5/2016,68,63,57,52,50,49,80,68,56,29.89,29.87,29.85,10,10,10,16,9,19,0,7,,241,94107
5/6/2016,60,58,56,56,51,49,93,83,72,29.91,29.87,29.85,10,10,5,16,7,20,0,7,Rain,260,94107
5/7/2016,62,60,57,53,52,50,80,76,72,30,29.95,29.9,10,10,10,12,6,14,0,8,Rain,280,94107
5/8/2016,67,62,56,57,53,50,100,79,58,30,29.97,29.95,10,10,8,17,9,20,0,6,Rain,290,94107
5/9/2016,66,60,54,51,49,48,83,72,60,30,29.98,29.95,10,10,7,21,11,23,0,6,,278,94107
5/10/2016,68,61,54,52,50,49,89,74,58,30.02,29.99,29.96,10,10,7,21,8,24,0,5,,277,94107
5/11/2016,67,60,53,51,50,48,89,73,56,30.07,30.03,30,10,10,10,18,10,22,0,4,,299,94107
5/12/2016,66,60,53,50,49,48,83,70,56,30.08,30.05,30.01,10,10,10,20,11,23,0,5,,290,94107
5/13/2016,67,62,57,49,48,45,72,60,48,30.05,30.02,30,10,10,10,22,12,25,0,5,,272,94107
5/14/2016,71,64,57,55,50,45,78,68,57,30.09,30.04,30,10,10,10,21,10,23,0,6,,248,94107
5/15/2016,69,63,57,54,52,51,80,69,58,30,29.98,29.95,10,10,10,22,12,26,0,4,,263,94107
5/16/2016,73,65,56,53,51,50,86,68,49,30.01,29.96,29.91,10,10,10,20,8,23,0,3,,243,94107
5/17/2016,88,70,52,56,52,44,83,53,23,29.94,29.91,29.88,10,10,9,20,7,22,0,0,,271,94107
5/18/2016,76,67,57,55,53,50,84,67,49,29.99,29.94,29.9,10,10,8,23,10,25,0,1,,291,94107
5/19/2016,67,61,55,50,48,46,77,63,48,29.93,29.87,29.75,10,10,10,32,18,36,0,6,,256,94107
5/20/2016,64,59,53,47,45,44,72,62,52,29.95,29.85,29.75,10,10,10,30,22,36,0,4,,267,94107
5/21/2016,68,62,55,48,46,44,72,60,48,30.09,30.02,29.95,10,10,10,20,11,24,0,6,,261,94107
5/22/2016,68,62,56,49,47,45,77,63,48,30.13,30.08,30.03,10,10,10,22,12,24,0,5,,264,94107
5/23/2016,68,62,55,52,49,47,80,66,52,30.01,29.96,29.91,10,10,10,20,13,23,T,6,,267,94107
5/24/2016,65,61,57,50,49,48,77,67,56,30.06,29.98,29.9,10,10,10,20,14,31,T,8,,261,94107
5/25/2016,66,62,57,52,50,49,77,69,60,30.14,30.11,30.06,10,10,10,22,13,27,T,7,,260,94107
5/26/2016,70,63,55,52,50,48,80,68,55,30.13,30.07,30.01,10,10,10,20,10,24,0,4,,239,94107
5/27/2016,75,64,53,52,50,47,83,65,46,30,29.93,29.84,10,10,9,17,8,19,0,2,,269,94107
5/28/2016,82,69,56,53,49,43,86,57,28,29.9,29.84,29.81,10,10,9,17,7,20,0,4,,296,94107
5/29/2016,73,64,55,52,51,48,86,67,47,30,29.96,29.9,10,10,8,22,9,26,T,1,,309,94107
5/30/2016,73,64,54,54,52,49,86,68,49,30.01,29.97,29.92,10,10,7,18,8,21,T,4,,310,94107
5/31/2016,77,66,54,55,53,50,86,65,43,29.92,29.86,29.8,10,10,9,18,8,21,0,1,,297,94107
6/1/2016,71,63,54,54,53,50,86,72,57,29.95,29.89,29.83,10,10,10,21,11,25,0,3,,313,94107
6/2/2016,76,67,57,54,53,52,86,66,46,30.01,29.98,29.94,10,10,7,17,8,20,0,4,,311,94107
6/3/2016,89,72,54,57,53,50,86,58,29,30,29.95,29.9,10,10,10,17,7,21,0,3,,295,94107
6/4/2016,77,67,57,57,55,53,86,68,50,29.92,29.89,29.86,10,10,10,23,9,27,0,5,,306,94107
6/5/2016,75,65,55,53,52,50,86,65,44,29.93,29.88,29.83,10,10,5,22,10,24,0,4,,307,94107
6/6/2016,68,62,55,54,53,51,86,75,63,29.88,29.84,29.81,10,10,10,22,11,25,0,5,,291,94107
6/7/2016,70,65,59,55,54,53,80,69,57,29.97,29.91,29.86,10,10,10,24,14,27,0,7,,282,94107
6/8/2016,70,65,59,54,53,51,80,67,53,29.98,29.95,29.93,10,10,7,22,14,27,T,7,,263,94107
6/9/2016,66,63,59,53,52,51,75,69,63,29.99,29.95,29.92,10,10,7,20,13,24,T,7,,263,94107
6/10/2016,70,63,55,52,50,48,80,64,47,30.03,29.97,29.91,10,10,10,24,12,31,0,3,,250,94107
6/11/2016,82,67,51,52,49,45,83,57,30,29.95,29.92,29.88,10,10,10,17,9,21,0,2,,286,94107
6/12/2016,76,66,55,54,52,50,83,65,46,30.08,30.01,29.91,10,10,7,18,8,22,0,1,,326,94107
6/13/2016,67,62,57,52,50,49,80,66,52,30.12,30.08,30.03,10,10,10,32,15,37,0,4,,274,94107
6/14/2016,68,62,56,50,47,45,77,63,48,30.05,30.01,29.96,10,10,10,31,20,36,0,3,,266,94107
6/15/2016,67,61,55,49,46,44,72,59,45,30.09,30.02,29.93,10,10,10,32,19,37,0,2,,269,94107
6/16/2016,73,66,58,54,49,44,72,58,44,30.1,30.08,30.04,10,10,10,20,9,23,0,4,,249,94107
6/17/2016,72,66,59,57,54,52,78,66,53,30.1,30.06,30.02,10,10,10,18,9,22,T,6,Rain,219,94107
6/18/2016,76,67,57,54,50,47,75,56,36,30.2,30.14,30.09,10,10,10,23,10,26,0,2,,284,94107
6/19/2016,87,72,56,53,50,37,75,46,17,30.11,30.05,30,10,10,10,20,9,26,0,2,,299,94107
6/20/2016,75,65,54,53,51,48,83,62,41,30.08,30.05,30.02,10,10,10,18,9,21,0,2,,285,94107
6/21/2016,80,67,54,54,51,50,83,61,39,30.05,30.01,29.96,10,10,9,21,10,26,0,1,,289,94107
6/22/2016,67,61,54,51,51,50,83,71,58,30.03,30.01,29.98,10,10,10,18,10,24,0,3,,266,94107
6/23/2016,73,64,55,54,51,48,83,64,44,30.09,30.06,30.02,10,10,10,18,9,25,0,2,,268,94107
6/24/2016,75,66,56,54,52,50,86,65,43,30.1,30.05,29.98,10,10,10,17,9,22,0,3,,260,94107
6/25/2016,79,67,55,55,52,51,80,60,39,29.99,29.96,29.92,10,10,10,21,9,23,0,0,,286,94107
6/26/2016,78,67,55,53,52,50,80,61,41,30,29.97,29.94,10,10,8,18,10,21,0,1,,291,94107
6/27/2016,75,65,54,53,51,49,83,65,46,30.03,29.99,29.94,10,10,10,20,9,22,0,0,,291,94107
6/28/2016,72,64,55,52,51,50,80,65,49,30.01,29.98,29.94,10,10,7,22,10,26,0,1,,291,94107
6/29/2016,64,59,54,51,50,50,86,76,65,30.02,29.97,29.93,10,9,7,21,9,24,0,6,,283,94107
6/30/2016,74,65,56,53,51,49,80,65,49,29.93,29.88,29.81,10,9,7,18,9,21,0,3,,265,94107
7/1/2016,69,62,54,52,51,48,83,68,53,29.91,29.87,29.83,10,9,7,21,8,25,0,0,,324,94107
7/2/2016,72,64,55,54,52,50,86,70,53,29.99,29.95,29.9,10,10,10,21,9,24,0,3,,326,94107
7/3/2016,70,63,56,53,52,51,86,70,53,30.04,30.01,29.98,10,10,8,21,11,25,0,4,,327,94107
7/4/2016,71,64,57,55,53,52,86,72,57,30.04,30.01,29.98,10,10,10,22,10,26,0,5,,317,94107
7/5/2016,68,63,57,54,51,49,80,68,55,30.03,30,29.96,10,10,10,21,11,25,0,6,,276,94107
7/6/2016,65,61,57,52,51,50,80,72,63,30.03,30,29.96,10,10,10,21,13,24,0,5,,259,94107
7/7/2016,65,61,57,53,52,51,80,72,63,30.03,30.01,29.98,10,10,7,21,13,24,T,8,,253,94107
7/8/2016,68,62,55,58,55,52,93,76,59,30.05,30.03,30.01,10,10,7,18,10,23,T,6,,266,94107
7/9/2016,74,67,59,59,56,51,90,74,57,30.13,30.09,30.04,10,10,10,28,13,32,0,4,,256,94107
7/10/2016,77,67,57,54,52,50,86,65,43,30.11,30.05,29.97,10,10,10,17,9,22,0,2,,253,94107
7/11/2016,73,63,53,56,53,48,83,66,49,29.98,29.95,29.91,10,10,10,22,10,24,0,0,,274,94107
7/12/2016,71,64,57,54,52,50,86,70,53,30.01,29.97,29.92,10,10,2,20,10,28,0,4,,269,94107
7/13/2016,80,70,59,54,53,52,80,60,39,30.01,29.97,29.94,10,10,10,16,9,20,0,0,,272,94107
7/14/2016,72,64,56,54,53,52,86,70,53,30,29.97,29.93,10,10,10,25,13,29,0,1,,299,94107
7/15/2016,70,63,56,55,54,51,86,72,57,29.96,29.93,29.87,10,10,10,22,11,28,0,5,,317,94107
7/16/2016,73,65,57,54,53,52,86,70,53,29.92,29.89,29.87,10,10,10,21,9,25,0,4,,314,94107
7/17/2016,68,63,58,54,53,52,80,69,58,30.01,29.95,29.88,10,10,10,22,13,27,0,6,,265,94107
7/18/2016,70,64,58,54,53,52,86,70,53,30.12,30.07,30.01,10,10,8,22,14,26,T,6,Rain,259,94107
7/19/2016,70,64,57,53,52,50,80,67,53,30.13,30.09,30.04,10,10,10,18,10,24,0,5,,264,94107
7/20/2016,70,63,56,53,52,49,86,71,55,30.09,30.06,30.02,10,10,10,22,10,24,0,4,,276,94107
7/21/2016,71,64,56,57,53,51,84,69,53,30.12,30.09,30.05,10,10,10,21,11,23,0,4,,260,94107
7/22/2016,74,65,56,56,55,52,93,73,53,30.14,30.09,30.03,10,10,10,17,8,21,0,2,,261,94107
7/23/2016,77,66,54,56,55,51,93,70,46,30.02,29.94,29.86,10,10,8,21,8,23,0,0,,301,94107
7/24/2016,73,65,56,56,55,53,93,73,53,29.93,29.88,29.84,10,10,8,23,8,26,0,0,,304,94107
7/25/2016,73,65,56,58,55,53,93,73,53,29.96,29.93,29.89,10,10,9,20,8,23,0,4,,295,94107
7/26/2016,83,69,54,59,55,52,93,65,36,29.93,29.88,29.83,10,10,10,17,7,21,0,2,,303,94107
7/27/2016,77,67,57,57,55,54,87,69,50,29.92,29.89,29.86,10,10,10,22,11,25,0,2,,307,94107
7/28/2016,75,66,56,56,54,54,93,75,57,29.94,29.9,29.84,10,10,9,22,11,25,0,2,,302,94107
7/29/2016,73,65,56,57,55,54,93,73,53,29.88,29.84,29.79,10,10,10,21,10,23,0,2,,304,94107
7/30/2016,69,63,57,57,56,55,93,78,63,29.86,29.83,29.79,10,10,10,22,11,25,0,4,,312,94107
7/31/2016,70,64,58,58,56,55,93,80,66,29.93,29.89,29.85,10,10,10,21,11,27,0,4,,317,94107
8/1/2016,72,65,58,57,56,54,90,74,57,30.01,29.96,29.92,10,10,10,20,11,23,0,4,,293,94107
8/2/2016,71,64,57,57,55,54,93,77,61,30.04,30,29.94,10,10,10,20,10,23,0,4,,299,94107
8/3/2016,72,64,55,56,55,52,93,75,57,29.99,29.97,29.93,10,10,8,23,10,26,0,3,,315,94107
8/4/2016,66,62,58,55,54,53,87,77,67,29.98,29.95,29.91,10,10,9,18,12,18,T,8,,262,94107
8/5/2016,68,63,57,56,55,54,86,75,63,29.95,29.91,29.88,10,10,10,21,12,23,0,6,,268,94107
8/6/2016,67,62,57,54,54,53,86,75,63,29.93,29.9,29.87,10,10,7,20,12,24,0,6,,268,94107
8/7/2016,71,64,57,55,54,52,87,72,57,29.94,29.9,29.85,10,10,10,17,10,20,0,4,,260,94107
8/8/2016,73,65,57,56,55,54,93,75,57,29.88,29.86,29.83,10,10,10,22,9,25,0,4,,253,94107
8/9/2016,74,66,57,57,55,54,87,70,53,29.87,29.84,29.82,10,10,10,21,10,24,0,4,,256,94107
8/10/2016,73,65,56,57,55,53,93,73,53,29.94,29.89,29.84,10,10,10,22,9,26,0,4,,295,94107
8/11/2016,72,65,58,57,56,55,93,77,61,30.04,30,29.94,10,10,6,21,9,25,0,4,,328,94107
8/12/2016,71,65,58,57,56,54,93,77,61,30.07,30.02,29.97,10,10,8,17,8,21,0,4,,312,94107
8/13/2016,75,66,56,57,56,54,93,73,53,30.01,29.97,29.89,10,10,8,18,9,22,0,3,,298,94107
8/14/2016,71,64,57,56,55,54,93,75,57,29.96,29.92,29.88,10,10,7,21,12,23,0,4,,298,94107
8/15/2016,69,63,56,56,55,53,93,78,63,29.98,29.94,29.9,10,10,10,20,10,22,0,5,,297,94107
8/16/2016,70,64,57,57,55,55,93,77,61,29.95,29.91,29.86,10,10,6,21,10,24,0,5,,296,94107
8/17/2016,70,64,57,57,56,55,93,78,63,29.89,29.85,29.81,10,10,10,21,11,24,0,5,,299,94107
8/18/2016,72,66,59,58,57,56,90,76,61,29.89,29.86,29.83,10,10,10,20,10,23,0,4,,312,94107
8/19/2016,70,65,59,57,56,56,90,76,61,29.95,29.91,29.87,10,10,7,18,10,24,0,3,,317,94107
8/20/2016,69,65,60,57,56,55,90,77,63,29.99,29.94,29.9,10,10,10,21,10,24,0,5,,302,94107
8/21/2016,70,65,60,56,55,55,84,73,61,29.96,29.94,29.91,10,10,10,22,11,30,0,5,,280,94107
8/22/2016,69,64,59,57,56,55,87,75,63,30,29.96,29.93,10,10,8,22,11,26,0,5,,285,94107
8/23/2016,71,66,60,57,56,55,84,73,61,30.09,30.06,30,10,10,10,21,10,24,0,4,,293,94107
8/24/2016,69,64,58,57,55,55,90,77,63,30.13,30.06,29.99,10,10,10,21,10,24,0,6,,292,94107
8/25/2016,69,63,57,57,55,53,87,78,68,29.99,29.95,29.89,10,10,10,18,9,23,0,6,,276,94107
8/26/2016,73,68,62,58,56,55,84,71,57,29.98,29.94,29.89,10,10,10,17,9,19,0,4,,249,94107
8/27/2016,72,67,61,57,55,55,78,68,57,30.04,30,29.97,10,10,10,18,10,23,0,5,,261,94107
8/28/2016,72,66,60,56,54,53,84,69,53,30.1,30.07,30.04,10,10,10,21,11,23,0,4,,272,94107
8/29/2016,73,66,59,58,55,53,84,73,61,30.13,30.08,30.01,10,10,10,20,12,23,0,5,,267,94107
8/30/2016,74,68,61,58,57,57,90,74,57,30.03,29.99,29.92,10,10,10,18,11,23,0,5,,257,94107
8/31/2016,72,66,59,60,57,54,90,78,66,29.99,29.95,29.91,10,10,10,21,12,24,0,4,,262,94107
9/1/2015,77,68,59,59,56,54,88,74,47,29.96,29.9,29.85,10,10,10,16,4,21,0,0,,255,94063
9/2/2015,73,68,62,59,56,55,82,72,53,29.98,29.95,29.93,10,10,10,15,9,22,0,4,,254,94063
9/3/2015,68,64,59,55,53,48,77,68,49,29.96,29.91,29.86,10,10,10,17,7,24,0,0,,247,94063
9/4/2015,69,61,53,50,48,45,82,65,43,29.92,29.88,29.85,10,10,9,24,4,31,0,0,,253,94063
9/5/2015,80,66,53,54,44,34,82,56,24,30,29.95,29.92,10,10,10,13,2,,0,0,,282,94063
9/6/2015,86,70,55,54,40,28,67,43,12,30.01,29.95,29.9,10,10,9,12,1,17,0,1,,263,94063
9/7/2015,91,75,59,59,41,28,63,39,10,29.96,29.91,29.85,10,10,10,9,3,,0,0,,292,94063
9/8/2015,96,78,60,59,42,32,63,36,10,29.91,29.87,29.8,10,10,8,10,1,,0,0,,325,94063
9/9/2015,98,82,66,63,45,32,64,38,10,29.89,29.85,29.78,10,10,5,12,2,,0,0,,327,94063
9/10/2015,91,78,64,64,55,43,78,60,18,29.91,29.87,29.82,10,10,10,10,2,,0,1,,337,94063
9/11/2015,127,94,62,59,55,48,78,63,8,29.95,29.91,29.85,10,10,10,12,3,,0,1,,326,94063
9/12/2015,75,67,59,63,56,54,83,73,50,29.99,29.94,29.87,10,10,10,14,6,,0,2,,326,94063
9/13/2015,75,68,62,63,58,55,88,77,57,29.93,29.84,29.73,10,10,10,10,4,,0,4,,321,94063
9/14/2015,73,66,60,59,57,55,88,77,57,29.82,29.77,29.73,10,10,10,16,4,23,0,6,,218,94063
9/15/2015,68,62,57,55,52,45,88,74,43,29.95,29.89,29.82,10,10,10,22,7,26,0,2,,280,94063
9/16/2015,71,63,55,57,52,48,82,72,43,30.05,30,29.95,10,10,9,14,4,17,0,3,,207,94063
9/17/2015,73,66,59,59,56,52,94,78,47,30.11,30.04,29.99,10,10,10,13,3,,0,2,,303,94063
9/18/2015,82,68,55,59,52,48,82,67,30,30.01,29.95,29.88,10,10,10,10,2,,0,0,,332,94063
9/19/2015,89,73,57,63,52,45,88,62,22,29.9,29.86,29.78,10,10,10,8,2,,0,0,,322,94063
9/20/2015,95,78,60,64,50,41,69,49,15,29.9,29.84,29.79,10,10,10,8,1,,0,0,,295,94063
9/21/2015,95,80,64,59,50,39,73,46,15,29.82,29.79,29.71,10,10,10,10,2,,0,0,,320,94063
9/22/2015,71,65,59,55,53,50,82,71,53,30,29.9,29.8,10,10,10,18,6,31,0,0,,281,94063
9/23/2015,82,68,53,57,50,41,88,66,26,30.04,29.98,29.93,10,10,10,9,3,,0,1,,299,94063
9/24/2015,87,74,60,63,52,41,73,56,26,29.99,29.93,29.85,10,10,10,12,1,,0,2,,314,94063
9/25/2015,80,70,59,57,50,46,73,56,37,29.95,29.92,29.89,10,10,10,10,3,18,0,1,,296,94063
9/26/2015,80,70,59,59,54,50,82,69,39,29.97,29.91,29.84,10,10,10,10,2,,0,1,,322,94063
9/27/2015,75,67,59,61,55,54,83,76,57,29.86,29.83,29.79,10,10,10,9,2,,0,2,,326,94063
9/28/2015,73,65,57,57,55,52,88,78,57,29.95,29.88,29.85,10,10,10,14,3,,0,2,,311,94063
9/29/2015,68,64,59,55,53,50,82,75,60,30.03,29.97,29.94,10,10,10,14,5,,0,5,,297,94063
9/30/2015,64,62,59,61,55,52,94,81,72,30.04,29.98,29.94,10,10,8,8,4,,0,3,,286,94063
10/1/2015,75,68,60,59,57,54,88,78,53,30.07,29.99,29.93,10,10,10,13,4,,0,2,,296,94063
10/2/2015,80,68,57,59,54,52,88,76,37,30.07,30.02,29.86,10,10,10,10,2,,0,0,,326,94063
10/3/2015,68,62,55,59,52,48,94,78,59,29.85,29.67,29.48,10,10,9,23,3,31,0,2,,247,94063
10/4/2015,75,63,51,54,48,46,82,67,41,29.73,29.59,29.48,10,10,10,10,2,,0,2,,240,94063
10/5/2015,75,66,57,57,53,50,88,72,50,30,29.84,29.72,10,10,10,13,3,,0,0,,233,94063
10/6/2015,73,65,57,59,55,54,88,76,57,30.14,30.07,30,10,10,10,12,2,,0,1,,285,94063
10/7/2015,77,67,57,59,56,52,94,78,44,30.16,30.13,30.09,10,10,10,12,3,16,0,4,,334,94063
10/8/2015,82,70,59,63,56,50,88,71,32,30.13,30.09,30.04,10,10,10,8,3,,0,2,,313,94063
10/9/2015,84,70,57,63,53,39,83,65,21,30.11,30.06,30,10,10,10,14,3,,0,0,,310,94063
10/10/2015,77,68,59,64,60,55,100,86,57,30.07,30.02,29.99,10,6,0,14,4,16,0,4,Fog,278,94063
10/11/2015,78,68,57,63,56,54,94,78,47,30.06,30.01,29.94,10,10,10,10,1,,0,0,,326,94063
10/12/2015,86,72,57,64,57,54,94,77,37,30.01,29.97,29.9,10,10,10,7,1,,0,0,,349,94063
10/13/2015,91,78,64,64,57,41,83,66,17,30.03,29.99,29.95,10,10,10,12,1,,0,0,,338,94063
10/14/2015,77,70,64,63,57,46,83,71,38,30.03,29.99,29.93,10,10,10,10,2,,0,1,,342,94063
10/15/2015,73,68,62,59,58,55,83,79,57,29.99,29.95,29.92,10,10,10,14,3,,0,2,,323,94063
10/16/2015,75,68,60,59,57,55,88,78,57,29.97,29.94,29.87,10,10,10,15,4,,0,4,,306,94063
10/17/2015,69,66,62,59,56,54,78,74,68,30.01,29.98,29.95,10,10,10,12,6,,0,8,,269,94063
10/18/2015,69,64,59,59,56,54,88,78,56,30.03,30,29.97,10,10,9,15,5,18,0,5,,269,94063
10/19/2015,69,64,59,59,57,55,94,79,64,30.06,30.02,29.99,10,10,10,16,8,18,0,5,,293,94063
10/20/2015,82,68,55,59,53,43,94,74,26,30.02,29.98,29.91,10,10,10,13,2,,0,1,,307,94063
10/21/2015,82,68,53,55,49,41,77,65,23,30,29.95,29.9,10,10,10,9,2,,0,0,,247,94063
10/22/2015,77,66,55,59,53,50,94,73,41,29.99,29.95,29.92,10,10,9,8,2,,0,1,,312,94063
10/23/2015,71,63,55,59,54,50,88,76,60,30.05,30,29.98,10,10,10,7,1,,0,2,,348,94063
10/24/2015,75,65,55,59,54,50,100,81,47,30.03,30,29.94,10,9,1,9,2,,0,4,,321,94063
10/25/2015,73,65,57,59,53,48,82,74,49,30.04,29.99,29.96,10,10,10,14,5,18,0,1,,288,94063
10/26/2015,77,66,55,63,53,45,100,80,34,30.04,29.99,29.93,10,8,0,7,3,,0,3,Fog,249,94063
10/27/2015,68,62,57,57,52,48,82,71,49,30.06,30,29.96,10,10,10,10,2,,0,4,Rain,307,94063
10/28/2015,69,64,59,61,55,52,88,80,68,30.07,30.04,30.01,10,10,10,14,3,,0,3,,302,94063
10/29/2015,75,66,57,54,51,45,88,70,36,30.07,30.02,29.96,10,10,10,13,5,,0,0,,290,94063
10/30/2015,80,66,53,57,49,37,82,68,21,30.07,30.03,29.99,10,10,10,7,1,,0,0,,321,94063
10/31/2015,82,68,55,59,53,48,88,73,35,30.15,30.09,30.05,10,10,10,13,2,,0,1,,290,94063
11/1/2015,71,63,55,63,56,46,94,83,64,30.17,30.11,29.97,10,10,10,9,3,,0,3,,284,94063
11/2/2015,64,60,55,63,53,45,100,85,52,29.95,29.86,29.8,10,7,2,20,9,28,0.26,6,Rain,296,94063
11/3/2015,64,56,48,48,45,37,93,72,37,29.97,29.91,29.84,10,10,8,12,3,,0,0,,283,94063
11/4/2015,64,56,48,46,38,28,82,56,26,30.15,30.05,29.97,10,10,10,14,4,18,0,0,,294,94063
11/5/2015,64,54,44,48,41,37,81,68,39,30.29,30.22,30.16,10,10,10,8,1,,0,1,,313,94063
11/6/2015,68,56,44,45,40,32,93,66,26,30.31,30.26,30.21,10,10,10,8,1,,0,0,,339,94063
11/7/2015,66,55,44,48,43,39,87,71,43,30.21,30.14,30.05,10,10,10,7,1,,0,0,,329,94063
11/8/2015,62,54,46,54,47,43,93,83,59,30.06,30.02,29.98,10,10,3,9,1,,0.01,2,Rain,229,94063
11/9/2015,55,52,48,50,46,43,100,83,67,30.07,29.99,29.95,10,10,3,9,4,,0,4,Rain,214,94063
11/10/2015,59,52,46,46,43,39,93,78,48,30.37,30.21,30.07,10,10,10,12,3,,0.01,1,,305,94063
11/11/2015,62,52,41,46,41,36,93,76,37,30.43,30.37,30.31,10,10,10,6,1,,0,0,,331,94063
11/12/2015,62,53,44,46,42,39,93,77,42,30.31,30.24,30.14,10,10,10,8,1,,0,0,,331,94063
11/13/2015,64,54,44,50,43,41,87,76,52,30.14,30.09,30.02,10,10,10,7,1,,0,0,,319,94063
11/14/2015,64,54,44,50,45,41,94,79,52,30.02,29.95,29.87,10,10,10,41,2,16,0,0,,182,94063
11/15/2015,59,54,50,52,44,34,94,70,51,30.11,29.91,29.78,10,9,2,26,10,37,0.14,4,Rain,255,94063
11/16/2015,59,52,46,39,33,25,66,50,27,30.35,30.24,30.12,10,10,10,16,11,24,0,0,,304,94063
11/17/2015,134,91,48,52,46,39,87,74,7,30.37,30.32,30.28,10,10,10,14,4,17,0,2,,301,94063
11/18/2015,66,56,46,54,48,45,94,83,63,30.3,30.23,30.15,10,10,10,12,1,,0,1,,289,94063
11/19/2015,68,58,48,54,48,46,94,80,46,30.2,30.16,30.11,10,10,3,8,1,,0,0,,312,94063
11/20/2015,73,62,51,54,50,48,94,79,41,30.15,30.1,30.05,10,10,10,7,1,,0,1,,309,94063
11/21/2015,69,58,48,54,48,46,94,78,43,30.13,30.07,30.02,10,10,10,6,0,,0,1,,313,94063
11/22/2015,66,57,48,55,47,45,87,78,56,30.04,29.99,29.92,10,10,10,6,0,,0,1,,3,94063
11/23/2015,59,54,48,50,46,43,94,83,63,29.98,29.94,29.9,10,9,3,16,2,,0,2,,282,94063
11/24/2015,69,58,46,54,45,37,94,78,43,29.96,29.93,29.9,10,9,2,23,4,30,0,6,Rain,207,94063
11/25/2015,53,47,41,43,39,32,93,77,44,30.04,29.96,29.9,10,10,3,13,4,20,0.02,3,Rain,285,94063
11/26/2015,53,44,35,37,31,7,87,67,20,30.15,30.09,30.04,10,10,10,8,2,,0,0,,211,94063
11/27/2015,55,45,35,32,27,23,75,54,30,30.17,30.14,30.1,10,10,10,12,3,,0,0,,267,94063
11/28/2015,55,46,37,34,26,21,65,54,29,30.2,30.16,30.11,10,10,10,9,2,,0,0,,233,94063
11/29/2015,55,45,35,34,29,27,75,63,33,30.23,30.19,30.16,10,10,10,6,1,,0,0,,207,94063
11/30/2015,51,44,37,41,34,30,81,72,54,30.25,30.21,30.18,10,10,10,6,0,,0,4,,302,94063
